[SHEET: H24-002_MEM(R53B)_C60_UPDOWN_ZE]
H24-002_MEM(R53B)_C60_UPDOWN_Zeus_Test_PTM3.2(ADC)_COMMON2.0_6L_0x0320_V1.1 부품리스트									
번호	종류	품명	SET	수량	재고	CHECK	Ref	대체 가능품목	비고
	TP-SMD1.0MM	TP_CH0_VCM_A1	Bottom	114.5	14.4	0	
	TP-SMD1.0MM	TP_CH0_VCM_B1	Bottom	118	14.4	180	
	TP-SMD1.0MM	TP_CH0_VCM_C1	Bottom	120.5	13	180	
	TP-SMD1.0MM	TP_CH0_VCM_D1	Bottom	122.5	14.4	270	
	TP-SMD1.0MM	TP_CH0_VCM_F9_1	Bottom	124.25	13	0	
	TP-SMD1.0MM	TP_CH0_VCM_G9_1	Bottom	126.25	14.4	0	
	TP-SMD1.0MM	TP_CH0_VD10P0	Bottom	130.5	13.5	0	
	TP-SMD1.0MM	TP_CH0_VDDH1_2	Bottom	114.2	106.9	0	
	TP-SMD1.0MM	TP_CH0_VDDH2_2	Bottom	119.3	107.6	0	
	TP-SMD1.0MM	TP_CH0_VDDL1_2	Bottom	124.3	107.6	0	
	D_TP_1.0MM	TP_DOVDD	Bottom	92	55.15	90	
	D_TP_1.0MM	TP_PVDD	Bottom	92	36.7	270	
	D_TP_1.0MM	TP_SVDD	Bottom	92	44.8	270	
	D_TP_1.0MM	TP_VDDH1	Bottom	92	83.25	90	
	D_TP_1.0MM	TP_VDDH2	Bottom	92	87.85	90	
	D_TP_1.0MM	TP_VDDL1	Bottom	92	49.65	90	
	TP1X1.5MM	TP17	Bottom	142	35	90	

